"ISBN","User-ID","Book-Rating","Book-Title","Book-Author","Year-Of-Publication"
"0029639204",22625,0,"French for Travellers Only","Berlitz Publishing",1975
"0029639905",114178,7,"Berlitz Swedish for Travellers","Charles Berlitz",1982
"0029640407",23902,7,"Berlitz Greek for Travellers","Berlitz Publishing",1977
"0029690803",23902,8,"Berlitz Travel Guide to Corfu (Berlitz Travel Guide)","Berlitz Travel Guide",1977
"0029692407",23902,6,"Ibiza Travel Guide","Berlitz Publishing Company",1986
"0029693306",23902,6,"Madeira (Berlitz Travel Guide)","Berlitz Travel Guide",1977
"0029695902",37950,0,"Berlitz Guide to Montreal","Berlitz Publishing",1988
"0030000424",251394,0,"Moon tiger","Phyllis Root",1985
"0030000726",82123,10,"Doonesbury Dossier: The Reagan Years","G. B. Trudeau",1984
"0030000726",196108,0,"Doonesbury Dossier: The Reagan Years","G. B. Trudeau",1984
"0030000726",234828,7,"Doonesbury Dossier: The Reagan Years","G. B. Trudeau",1984
"0030000831",70415,10,"Loving Each Other: The Challenge of Human Relationships","Leo Buscaglia",1984
"0030000831",133571,7,"Loving Each Other: The Challenge of Human Relationships","Leo Buscaglia",1984
"0030000831",180917,0,"Loving Each Other: The Challenge of Human Relationships","Leo Buscaglia",1984
"0030000831",180981,7,"Loving Each Other: The Challenge of Human Relationships","Leo Buscaglia",1984
"0030000831",220911,0,"Loving Each Other: The Challenge of Human Relationships","Leo Buscaglia",1984
"0030000831",245963,0,"Loving Each Other: The Challenge of Human Relationships","Leo Buscaglia",1984
"0030000890",129074,0,"Murder fantastical (An Inspector Henry Tibbett mystery)","Patricia Moyes",1984
"0030000920",62348,0,"Dead men don't ski (An Inspector Henry Tibbett mystery)","Patricia Moyes",1984
"0030000920",129074,6,"Dead men don't ski (An Inspector Henry Tibbett mystery)","Patricia Moyes",1984
"0030000920",139467,0,"Dead men don't ski (An Inspector Henry Tibbett mystery)","Patricia Moyes",1984
"0030000939",129074,0,"Death on the agenda","Patricia Moyes",1984
"0030000939",206573,0,"Death on the agenda","Patricia Moyes",1984
"0030002060",60621,7,"Robert Frost: Poetry and Prose (Rinehart editions, 154)","Robert Frost",1973
"0030003474",26583,10,"How to Win at Trivial Pursuit: And Other Knowledge Games","Robert Heller",1984
"0030004381",98741,0,"In This Sign","Joanne Greenberg",1984
"0030004780",21364,0,"Kathleen Kennedy","Lynne McTaggart",1984
"0030007135",208555,2,"No One Knows Where Gobo Goes","Mark Saltzman",1984
"0030007194",212898,0,"Marooned in Fraggle Rock","David Young",1984
"003000733X",169233,0,"Ancient Lives : Daily Life in Egypt of the Pharaohs","John Romer",1984
"0030009995",69078,8,"Financing Your Film: A Guide for Independent Filmmakers and Producers","Trisha Curran",1986
"0030015030",86033,0,"Writing and Life: A Rhetoric for Nonfiction With Readings","Don Knefel",1986
"003001512X",23872,9,"Discovering Ideas: An Anthology for Writers","Jean Wyrick",1986
"0030018897",35859,7,"\""""""""B\"""""""" is for burglar (A Kinsey Millhone mystery)","Sue Grafton",1985
"0030018897",36836,0,"\""""""""B\"""""""" is for burglar (A Kinsey Millhone mystery)","Sue Grafton",1985
"0030018897",124597,6,"\""""""""B\"""""""" is for burglar (A Kinsey Millhone mystery)","Sue Grafton",1985
"0030018897",125216,0,"\""""""""B\"""""""" is for burglar (A Kinsey Millhone mystery)","Sue Grafton",1985
"0030018897",227054,9,"\""""""""B\"""""""" is for burglar (A Kinsey Millhone mystery)","Sue Grafton",1985
"0030018897",236283,10,"\""""""""B\"""""""" is for burglar (A Kinsey Millhone mystery)","Sue Grafton",1985
"003001946X",36836,0,"House of all nations","Christina Stead",1972
"0030019516",171078,0,"The incredible Brazilian","Zulfikar Ghose",1972
"0030020387",178181,0,"Aesop's fables","Michael Hague",1985
"0030020786",2033,7,"Principles of Instrumental Analysis","Douglas A. Skoog",1997
"0030029945",71470,0,"Harry Lorayne's Page-A-Minute Memory Book","Harry Lorayne",1985
"0030031842",129368,8,"Edisto (Edisto)","Padgett Powell",1985
"0030031842",196227,9,"Edisto (Edisto)","Padgett Powell",1985
"0030031842",241614,0,"Edisto (Edisto)","Padgett Powell",1985
"0030032679",59172,0,"Trauma","John J Fried",1985
"0030033195",26544,0,"Lower New England: A Guide to the Inns of Massachusetts, Connecticut, and Rhode Island (Country Inns of America)","Roberta Gardner",1985
"0030035627",84732,5,"College Physics (Saunders Golden Sunburst Series)","Raymond A. Serway",1991
"0030035627",238541,0,"College Physics (Saunders Golden Sunburst Series)","Raymond A. Serway",1991
"0030035643",238541,0,"College Physics","Raymond A. Serway",1995
"003003678x",79441,7,"Nostradamus","Jean Charles De Fontbrune",1995
"0030036798",225810,0,"Nightwork","Joseph Hansen",1985
"0030036798",253080,5,"Nightwork","Joseph Hansen",1985
"0030036828",225810,0,"Gravedigger","Joseph Hansen",1985
"0030037166",8681,0,"The breast","Philip Roth",1972
"0030037166",36836,0,"The breast","Philip Roth",1972
"0030037166",266865,0,"The breast","Philip Roth",1972
"0030037727",230522,0,"Freckles and Willie/a Valentine's Day Story","Margery Cuyler",1986
"003004068X",69078,8,"Personal Style","James Wagenvoord",1985
"0030045541",55492,0,"The Cave of the Lost Fraggle (Fraggle Rock Story Books)","Michael Teitelbaum",1985
"0030045541",230522,0,"The Cave of the Lost Fraggle (Fraggle Rock Story Books)","Michael Teitelbaum",1985
"0030045584",234623,0,"Follow that Fraggle!","Louise Gikow",1985
"0030045592",278418,0,"Mokey's birthday present","Ellen Weiss",1985
"0030045592",268932,9,"Mokey's birthday present","Ellen Weiss",1985
"0030045894",106304,8,"Maze: Solve the World's Most Challenging Puzzle","Christopher Manson",1985
"0030045894",110076,6,"Maze: Solve the World's Most Challenging Puzzle","Christopher Manson",1985
"0030045894",269438,0,"Maze: Solve the World's Most Challenging Puzzle","Christopher Manson",1985
"0030046181",56447,0,"En Contacto: Gramatica En Accion","Mary McVey Gill",1999
"003004622X",56447,0,"En contacto (cuaderno de ejercicios y laboratorio)","Mary McVey Gill",1995
"0030049598",88733,0,"Cinderella (Matthew Hope, No 6)","Ed McBain",1986
"0030049989",248669,0,"Softwar","Thierry Breton",1986
"0030051436",124078,0,"Exploration of the universe (Saunders golden sunburst series)","George O Abell",1987
"0030053765",213350,0,"Wonder Woman","William Moulton Marston",1972
"0030054087",213350,0,"Geometry 1991","Nichols",1991
"003005608X",13082,0,"Coconut Killings","Patricia Moyes",1985
"003005608X",129074,7,"Coconut Killings","Patricia Moyes",1985
"0030056098",129074,0,"Black Widower","Patricia Moyes",1985
"0030056144",56116,6,"Imaging Saturn: The Voyager Flights to Saturn","Henry S. F. Cooper Jr.",1985
"0030056276",37019,0,"Check Your Egos at the Door (A Doonesbury book)","Garry Trudeau",1985
"0030056276",79441,8,"Check Your Egos at the Door (A Doonesbury book)","Garry Trudeau",1985
"0030056276",155463,0,"Check Your Egos at the Door (A Doonesbury book)","Garry Trudeau",1985
"0030056284",2977,0,"Second Daughter: Growing Up in China 1930-1949","Katherine Wei",1985
"0030056292",129074,7,"Six Letter Word for Death","Patricia Moyes",1985
"0030060125",77304,0,"Blood for Blood","Julian Gloag",1985
"0030061091",78553,10,"A regency lady's faery bower","Amelia Jane Murray",1985
"0030068827",166606,0,"The Story of the Statue of Liberty: With Movable Illustrations in Three Dimensions","Joseph Forte",1988
"0030069564",201042,4,"Linguistic Anthropology (Basic anthropology units)","Nancy Parrott Hickerson",1980
"0030070066",98741,0,"Textuellement","John Barson",1974
"0030071933",274301,0,"Sherlock Holmes: My Life and Crimes","Michael Hardwick",1986
"0030073189",36907,10,"The Goblins of Labyrinth","Brian Froud",1986
"0030073227",110483,0,"Labyrinth: A Novel","A. C. H. Smith",1986
"0030073227",123056,0,"Labyrinth: A Novel","A. C. H. Smith",1986
"0030073227",168064,0,"Labyrinth: A Novel","A. C. H. Smith",1986
"0030073227",251140,0,"Labyrinth: A Novel","A. C. H. Smith",1986
"0030073227",272957,10,"Labyrinth: A Novel","A. C. H. Smith",1986
"0030073243",203240,0,"Labyrinth: The Storybook Based on the Movie","Louise Gikow",1986
"0030074312",8167,0,"The Foundling, and Other Tales of Prydain.","Lloyd Alexander",1973
"0030074312",211958,8,"The Foundling, and Other Tales of Prydain.","Lloyd Alexander",1973
"0030074312",228021,0,"The Foundling, and Other Tales of Prydain.","Lloyd Alexander",1973
"0030075211",198711,0,"But This War Had Such Promise (His A Doonesbury book)","G.B. Trudeau",1973
"0030075211",209756,0,"But This War Had Such Promise (His A Doonesbury book)","G.B. Trudeau",1973
"0030075211",271000,7,"But This War Had Such Promise (His A Doonesbury book)","G.B. Trudeau",1973
"0030076064",115490,0,"From reverence to rape: The treatment of women in the movies","Molly Haskell",1974
"0030076064",156269,0,"From reverence to rape: The treatment of women in the movies","Molly Haskell",1974
"0030077605",55492,0,"Rise of Silas Lapham","William Dean Howells",1949
"0030077664",269566,0,"Serpent's tooth (A Rinehart suspense novel)","Sara Woods",1973
"0030078156",173415,0,"Faust a Tragedy","Johann Wolfgang Von Goethe",1974
"0030078156",260897,0,"Faust a Tragedy","Johann Wolfgang Von Goethe",1974
"0030079306",36836,0,"Selected Poetry and Letters","Lord Byron",0
"0030079306",217895,0,"Selected Poetry and Letters","Lord Byron",0
"0030080037",138193,0,"Museum Pieces","Elizabeth Tallent",1986
"0030080037",167759,5,"Museum Pieces","Elizabeth Tallent",1986
"0030080371",114444,0,"This Is the Way the World Ends","James Morrow",1986
"0030080398",252085,0,"Sprich Deutsch: A Conversation Manual","Philip Grundlehner",1989
"0030083710",238120,0,"The Rockefellers: An American Dynasty","Peter Collier",1976
"0030084113",271284,0,"A concise guide for writers","Louis E Glorfeld",1974
"0030085330",25981,0,"At the Hands of Another","A. Lyons",1987
"0030085373",79441,8,"That's Doctor Sinatra, You Little Bimbo! (A Doonesbury book / by G.B. Trudeau)","G.B. Trudeau",1986
"0030085373",80028,9,"That's Doctor Sinatra, You Little Bimbo! (A Doonesbury book / by G.B. Trudeau)","G.B. Trudeau",1986
"0030085373",155463,0,"That's Doctor Sinatra, You Little Bimbo! (A Doonesbury book / by G.B. Trudeau)","G.B. Trudeau",1986
"0030085373",171118,0,"That's Doctor Sinatra, You Little Bimbo! (A Doonesbury book / by G.B. Trudeau)","G.B. Trudeau",1986
"0030085373",173485,0,"That's Doctor Sinatra, You Little Bimbo! (A Doonesbury book / by G.B. Trudeau)","G.B. Trudeau",1986
"0030085373",183995,8,"That's Doctor Sinatra, You Little Bimbo! (A Doonesbury book / by G.B. Trudeau)","G.B. Trudeau",1986
"0030085373",253996,10,"That's Doctor Sinatra, You Little Bimbo! (A Doonesbury book / by G.B. Trudeau)","G.B. Trudeau",1986
"003008539X",156467,10,"Three With a Bullet","Arthur Lyons",1986
"003008685X",277427,8,"Pioneers","James Fenimore Cooper",1974
"0030091306",36836,0,"Selected Poetry","Alfred Lord Tennyson",2000
"0030095344",49889,0,"The curious affair of the third dog (An Inspector Henry Tibbett mystery)","Patricia Moyes",1986
"0030095344",129074,0,"The curious affair of the third dog (An Inspector Henry Tibbett mystery)","Patricia Moyes",1986
"0030095344",252695,7,"The curious affair of the third dog (An Inspector Henry Tibbett mystery)","Patricia Moyes",1986
"0030096189",472,10,"Organic Chemistry (Saunders Golden Sunburst Series)","Stephen J. Weininger",1994
"0030096502",27243,8,"Fathers and Children","Simmons",1949
"0030098750",117047,0,"Hard Times","Charles Dickens",1958
"0030098750",157101,0,"Hard Times","Charles Dickens",1958
"0030102006",111657,6,"Damnation of Theron Ware","Harold Frederic",1960
"0030104556",187425,0,"Drama on Stage","Goodman",1961
"0030104556",189334,0,"Drama on Stage","Goodman",1961
"0030107210",115460,10,"Hunting in America,","Charles F Waterman",1973
"0030107318",36836,0,"Fear of Flying; A Novel.: A Novel","Erica Jong",1973
"0030107318",124310,9,"Fear of Flying; A Novel.: A Novel","Erica Jong",1973
"0030107318",247055,0,"Fear of Flying; A Novel.: A Novel","Erica Jong",1973
"0030107636",238541,0,"Pocket Guide to Accompany College Physics","Raymond A. Serway",1995
"0030112648",186570,0,"Microeconomics: Principles and policy (The Dryden Press series in economics)","William J Baumol",1997
"0030113261",200674,0,"The shapes of prose;: A rhetorical reader for college writing","Charles M Cobb",1975
"0030113261",247429,0,"The shapes of prose;: A rhetorical reader for college writing","Charles M Cobb",1975
"0030115078",23872,5,"Encyclopedia and dictionary of medicine, nursing, and allied health","Benjamin Frank Miller",1987
"0030118514",66797,1,"Philosophies Men Live by","Robert Franklin Davidson",1974
"0030119197",25041,10,"The Trobrianders of Papua New Guinea (Case Studies in Cultural Anthropology)","Annette  B. Weiner",1988
"0030119197",37712,9,"The Trobrianders of Papua New Guinea (Case Studies in Cultural Anthropology)","Annette  B. Weiner",1988
"0030119502",8253,0,"Castle of Otranto","Horace Walpole",1963
"0030119502",57072,9,"Castle of Otranto","Horace Walpole",1963
"0030119502",151608,0,"Castle of Otranto","Horace Walpole",1963
"0030119537",32773,7,"A Glossary of Literary Terms","Michael H. Abrams",1989
"0030119537",250659,0,"A Glossary of Literary Terms","Michael H. Abrams",1989
"0030120608",53729,0,"Selected Poems of Robert Frost (Great Poets Series)","Robert Frost",1963
"0030125111",102967,0,"Guilty, Guilty, Guilty! (His A Doonesbury book)","G. B., Trudeau",1980
"0030127440",262998,7,"Crime and criminology","Sue Titus Reid",1988
"0030129362",168699,9,"Elizabeth I;: A biography","Paul Johnson",1974
"0030131561",20115,0,"Win a few, lose a few, Charlie Brown: A new Peanuts book","Charles M Schulz",1974
"003013157X",139976,5,"Economics: Principles and Applications (The Dryden Press series in economics)","Robert Paul Thomas",1990
"0030131766",162155,0,"\""""""""What Do We Have for the Witnesses, Johnnie?\"""""""" (A Doonesbury book)","G. B., Trudeau",1980
"0030131766",274308,0,"\""""""""What Do We Have for the Witnesses, Johnnie?\"""""""" (A Doonesbury book)","G. B., Trudeau",1980
"0030137462",75764,10,"The Eagle Has Landed","Jack Higgins",1975
"0030138663",79441,8,"Dare to Be Great, Ms. Caucus (A Doonesbury book)","G. B. Trudeau",1981
"003014051X",39281,8,"Loveroot","Erica Jong",0
"0030145023",123608,0,"Modern Chemistry","Nicholas D. Tzimopoulos",1990
"0030145139",123608,0,"Modern Chemistry: Laboratory Experiments","Tzimopoulo",1993
"0030147166",34465,5,"Mister God, This is Anna","Anna Fynn",1975
"0030149010",79441,8,"Wouldn't a Gremlin Have Been More Sensible? (A Doonesbury book)","G. B., Trudeau",1975
"0030149010",183995,10,"Wouldn't a Gremlin Have Been More Sensible? (A Doonesbury book)","G. B., Trudeau",1975
"0030149061",9856,0,"The Doonesbury Chronicles","G.B. Trudeau",1975
"0030149061",32014,5,"The Doonesbury Chronicles","G.B. Trudeau",1975
"0030149061",84545,7,"The Doonesbury Chronicles","G.B. Trudeau",1975
"003015006X",36606,0,"First-year French","Elizabeth G Joiner",1977
"0030150809",174304,0,"Corazon De Espana (Dryden Press Modern Language Publications)","Augusts Centeno",1957
"0030152062",210792,0,"The day before sunrise: A novel","Thomas Wiseman",1976
"0030152615",109901,0,"Games of the World How to Make Them, How to Play Them, How They Came to Be","Grunfeld",1978
"0030153913",93698,5,"Founder's Praise","Joanne Greenberg",1976
"0030153913",194027,0,"Founder's Praise","Joanne Greenberg",1976
"0030155665",48494,10,"Chanukah","Howard Greenfeld",1976
"0030157188",249600,5,"A Pocket Guide to Finance (Harcourt Brace College Outline Series)","David Leghigh",1995
"0030166012",45340,0,"Billy Learns Karate","Bernard. Wiseman",1976
"003016656X",127200,0,"Prisoners of the Scrambling Dragon","F. N. Monjo",1980
"0030172217",79441,8,"\""""""""Speaking of Inalienable Rights, Amy ...\"""""""" (A Doonesbury book)","G. B., Trudeau",1976
"0030177960",245963,0,"Handbook for writers: Grammar, punctuation, diction, rhetoric, research","Celia M Millward",1980
"0030180228",42400,0,"International Marketing (The Dryden Press Series in Marketing)","Vern Terpstra",1996
"0030180716",13082,0,"Me Too, Iguana (Sweet Pickles Series)","Jacquelyn Reinach",1977
"0030180716",164465,6,"Me Too, Iguana (Sweet Pickles Series)","Jacquelyn Reinach",1977
"0030180716",198711,0,"Me Too, Iguana (Sweet Pickles Series)","Jacquelyn Reinach",1977
"0030180767",143253,0,"Stork Spills the Beans (Sweet Pickles Series)","Richard Hefter",1977
"0030180813",198711,0,"Zip Goes Zebra (Sweet Pickles Series)","Richard. Hefter",1978
"0030180813",231210,0,"Zip Goes Zebra (Sweet Pickles Series)","Richard. Hefter",1978
"0030180864",130571,0,"Goose Goofs Off (Sweet Pickles Series)","Jacquelyn Reinach",1977
"0030180864",170422,10,"Goose Goofs Off (Sweet Pickles Series)","Jacquelyn Reinach",1977
"0030180864",198711,0,"Goose Goofs Off (Sweet Pickles Series)","Jacquelyn Reinach",1977
"0030180910",198711,0,"Very Worried Walrus (Sweet Pickles Series)","Richard Hefter",1977
"0030180961",278418,0,"Fixed by Camel (Sweet Pickles Series)","Jacquelyn. Reinach",1977
"0030181011",3346,10,"A Kiss on the Nose Turns Anger Aside","Charles M. Schulz",1995
"0030181011",125774,0,"A Kiss on the Nose Turns Anger Aside","Charles M. Schulz",1995
"0030181062",98930,10,"Fly, You Stupid Kite, Fly","Charles M. Schulz",1990
"0030181119",174791,0,"What Makes Musicians So Sarcastic?","Charles M. Schulz",1995
"0030181216",174791,0,"Thank Goodness for People","Charles M. Schulz",1995
"0030182913",131883,10,"The Duchess of Duke Street: A Novel","Mollie Hardwick",1977
"0030184762",44089,0,"Michael Field's Cooking School: A Selection of Great Recipes Demonstrating the Pleasures and Principles of Fine Cooking","Michael Field",1977
"0030184762",172742,0,"Michael Field's Cooking School: A Selection of Great Recipes Demonstrating the Pleasures and Principles of Fine Cooking","Michael Field",1977
"0030184762",267249,0,"Michael Field's Cooking School: A Selection of Great Recipes Demonstrating the Pleasures and Principles of Fine Cooking","Michael Field",1977
"003018682X",211426,9,"An Introduction To Language, 6e","Victoria Fromkin",1997
"003018763X",42400,0,"Exploring Marketing Research (The Dryden Press Series in Marketing)","William G. Zikmund",1996
"0030193826",193337,0,"Classics of Public Administration","Jay M. Shafritz",1996
"0030195160",11601,0,"A plan for writing","John C Brereton",1978
"0030195160",142674,0,"A plan for writing","John C Brereton",1978
"0030200881",228226,5,"Chemistry: Science of Change (Saunders Golden Sunburst Series)","David W. Oxtoby",1997
"0030206324",210792,0,"Experimental Organic Chemistry: A Miniscale and Microscale Approach (Saunders Golden Sunburst Series)","John C. Gilbert",1998
"0030206561",76942,0,"Ringworld: A Novel","Larry Niven",1977
"0030206812",45082,0,"An Especially Tricky People (Doonesbury Book)","G. B. Trudeau",1977
"0030206812",79441,8,"An Especially Tricky People (Doonesbury Book)","G. B. Trudeau",1977
"0030206812",171118,0,"An Especially Tricky People (Doonesbury Book)","G. B. Trudeau",1977
"0030206812",205473,10,"An Especially Tricky People (Doonesbury Book)","G. B. Trudeau",1977
"0030207169",36836,0,"The Best Science Fiction of the Year, No 6","Terry Carr",1977
"0030209692",245104,10,"Physics for Scientists and Engineers, Volume II","Raymond A. Serway",1999
"0030210178",121986,0,"Standard and Microscale Experiments in General Chemistry","Carl B. Bishop",1999
"0030211131",30445,7,"Advertising, Promotion and Supplemental Aspects of IMC","Terence A. Shimp",1999
"0030211212",14281,9,"McClane's Field guide to saltwater fishes of North America: A project of the Gamefish Research Association","A. J McClane",1978
"0030211212",245963,0,"McClane's Field guide to saltwater fishes of North America: A project of the Gamefish Research Association","A. J McClane",1978
"0030213967",174791,0,"It's great to be a superstar: Cartoons from You're out of sight, Charlie Brown and You've come a long way, Charlie Brown (Peanuts parade ; 19)","Charles M Schulz",1977
"0030214017",174791,0,"My anxieties have anxieties: Cartoons from You're you, Charlie Brown and You've had it, Charlie Brown (Peanuts parade ; 18)","Charles M Schulz",1977
"003021436X",278418,0,"Yakety Yak Yak Yak (Sweet Pickles Series)","Richard Hefter",1977
"003021436X",155495,0,"Yakety Yak Yak Yak (Sweet Pickles Series)","Richard Hefter",1977
"0030214416",278418,0,"Lion Is Down in the Dumps (Sweet Pickles Series)","Richard Hefter",1977
"0030214416",184299,0,"Lion Is Down in the Dumps (Sweet Pickles Series)","Richard Hefter",1977
"0030216095",82123,0,"Rinehart Reader","Rackham Jeff",1990
"0030216664",269157,0,"The graphics of communication: Typography, layout, design, production","Arthur T Turnbull",1980
"003022313X",111405,8,"Contemporary Marketing 1999: 1999 (The Dryden Press Series in Marketing)","Louis E. Boone",1998
"003022313X",245128,7,"Contemporary Marketing 1999: 1999 (The Dryden Press Series in Marketing)","Louis E. Boone",1998
"0030223962",136382,0,"Day of Fear (A Rinehart Suspense Novel)","John Creasey",1978
"0030224640",208907,0,"Beginning Algebra: A Text/Workbook","Charles P. McKeague",1999
"0030224640",235105,0,"Beginning Algebra: A Text/Workbook","Charles P. McKeague",1999
"0030225140",56447,0,"En contacto: Lecturas intermedias","Mary McVey Gill",1998
"0030225663",235105,0,"Tanaquil: A novel","Donald Windham",1977
"0030226260",120598,0,"Introduction to Logic","J. Kilgord",1988
"0030226546",25132,5,"Physics for Scientists and Engineers (Saunders Golden Sunburst Series)","Raymond A. Serway",2000
"0030226767",230522,9,"As the Kid Goes for Broke","G. B., Trudeau",1981
"0030226864",11629,8,"The Cheyennes : Indians of the Great Plains (Case Studies in Cultural Anthropology)","E. Adamson Hoebel",1978
"003022781X",128331,0,"The power that preserves (His The chronicles of Thomas Covenant, the Unbeliever)","Stephen R Donaldson",1977
"0030228069",11993,0,"The sex life of plants","Alec Bristow",1978
"0030230667",189334,9,"Good thinking: An introduction to logic","Gerald Runkle",1978
"0030230918",146027,0,"Con mucho gusto: Lengua y cultura del mundo hispanico","Jean Paul Valette",1980
"0030230918",240144,0,"Con mucho gusto: Lengua y cultura del mundo hispanico","Jean Paul Valette",1980
"0030237424",189334,0,"The practical writer with readings","Edward P Bailey",1989
"0030238110",198901,0,"Financial Reporting and Statement Analysis","Clyde P. Stickney",1998
"0030249864",56447,0,"Elementary Differential Equations With Linear Algebra","Albert L. Rabenstein",1997
"0030254264",154553,9,"The Second X: The Biology of Women","Colleen M, Belk",1998
"0030259649",232945,5,"Contemporary Mathematics for Business and Consumers","Robert A. Brechner",1999
"0030262186",133689,0,"Exploring Marketing Research","William G. Zikmund",1999
"0030262860",55492,0,"Intermediate Algebra","Charles P. McKeague",1999
"0030266688",142143,0,"Invertebrate Zoology","Edward E. Ruppert",1994
"0030267226",100782,7,"FROMKIN/RODMAN INTRODUCTION TO LANGUAGE 4E IE","FROMKIN Vict",1988
"0030271509",25395,5,"The Road Not Taken: A Selection of Robert Frost's Poems","Robert Frost",1985
"0030271509",50509,0,"The Road Not Taken: A Selection of Robert Frost's Poems","Robert Frost",1985
"0030272289",174304,0,"Dimelo Tu!: With Student Listing Cd, Activity Manual and Lab Cd","Fabian Samaniego",1998
"0030283361",213638,0,"Principles of Macroeonomics, Brief","Mankiw",2000
"0030285860",278418,0,"MIA, Grandma and the Genie","Susan Jeschke",1978
"0030291798",11136,8,"Business Marketing Management: A Strategic View of Industrial and Organizational Markets","Michael D. Hutt",2000
"0030298210",189334,0,"Ordinary Daylight: Portrait of an Artist Going Blind","Andrew Potok",1980
"0030299403",20115,0,"But We Love You, Charlie Brown","Charles M. Schulz",1959
"0030304148",117539,5,"Philosophy: An Introduction to the Art of Wondering","James Lee Christian",1990
"0030310105",193685,10,"In the Clearing","Robert Frost",1995
"0030314038",196018,0,"Contemporary Marketing","Louis E. Boone",2000
"0030321883",94691,0,"Multimedia &amp; the Web: Creating Digital Excitement","Coorough",2001
"0030322332",151637,0,"Designing Interiors","W. Otie Kilmer",1994
"0030325935",136139,7,"Write in Time: Essay Exam Strategies","Jeanne Campanelli",1991
"003032744X",254751,0,"The Rinehart Handbook for Writers","Bonnie E. Carter",1990
"0030334365",235105,0,"Understanding Computers: Today and Tomorrow 2002 Edition","Deborah Morley",2001
"0030343984",56447,0,"Economics : Private and Public Choice with Xtra! CD-ROM and InfoTrac College Edition (Economics: Private &amp; Public Choice)","James D. Gwartney",2002
"0030361850",235842,0,"All in the Morning Early","Leclaire Alger",1970
"0030363160",172318,8,"A history of films","John L Fell",1979
"0030363160",228998,0,"A history of films","John L Fell",1979
"0030384427",25981,5,"A Book of Short Stories 1 (Perspectives in literature)","Holt",1991
"0030399211",146564,0,"Passover","Howard Greenfeld",1978
"0030402417",201017,8,"Jack and the Beanstalk, With Benjy and Bubbles (Read With Me)","Susan Horowitz",1978
"0030402468",201017,0,"Hansel and Gretel With Benjy and Bubbles (Read With Me)","Susan Horowitz",1978
"0030416515",95193,10,"Wilfred's Hospital Ship: Wilfred Grenfell (Stories about Christian Heroes)","Dolores Ready",1979
"0030417457",200674,0,"The Experiment: A Novel","Rick. Setlowe",1980
"0030418461",212898,0,"Citizen Hughes","Michael Drosnin",1987
"0030418461",262998,0,"Citizen Hughes","Michael Drosnin",1987
"0030419964",8734,8,"Pathway to ecstasy: The way of the dream mandala","Patricia L Garfield",1979
"0030420164",198711,0,"Fish and Flips (Sweet Pickles Series)","Jacquelyn Reinach",1978
"0030420210",268932,5,"Scaredy Bear (Sweet Pickles Series)","Jacquelyn Reinach",1979
"003042061X",231210,0,"Turtle Throws a Tantrum (Sweet Pickles Series)","Richard Hefter",1978
"0030420717",143253,0,"Kiss Me, I'm Vulture (Sweet Pickles Series)","Richard. Hefter",1979
"0030420768",231210,0,"Xerus Won't Allow It (Sweet Pickles Series)","Richard Hefter",1979
"0030423910",8839,0,"Circus ABC","Paulita Sedgwick",1978
"0030423910",171118,9,"Circus ABC","Paulita Sedgwick",1978
"003042576X",35050,0,"A ghost in the music","John Treadwell Nichols",1979
"003042576X",255092,0,"A ghost in the music","John Treadwell Nichols",1979
"0030426065",249111,0,"5001 nights at the movies: A guide from A to Z","Pauline Kael",1982
"0030427061",93047,0,"Reflections","David Robinson",1978
"0030427061",192203,0,"Reflections","David Robinson",1978
"003043131X",71900,7,"Studies in the short story","Virgil Scott",1980
"0030437113",26544,8,"Upper New England, a guide to the inns of Maine, New Hampshire, and Vermont (Country inns of America)","Peter Andrews",1980
"0030437261",112914,0,"California, a guide to the inns of California (Country inns of America)","Peter Andrews",1980
"0030437415",140555,0,"Warriors of the Rainbow: A Chronicle of the Greenpeace Movement","Robert Hunter",1979
"0030437512",153662,0,"Round the world with Ridgway","John Ridgway",1979
"0030437512",184299,0,"Round the world with Ridgway","John Ridgway",1979
"0030440769",74833,0,"Adrienne's house","Lari Field Siler",1979
"0030440769",83707,0,"Adrienne's house","Lari Field Siler",1979
"0030441668",247429,9,"An American Rhetoric","William Whyte Watt",1980
"0030442265",30915,0,"Writing the script: A practical guide for films and television","Wells Root",1980
"0030442818",3363,0,"Creek Mary's Blood: A Novel","Dee Alexander Brown",1980
"0030442818",23768,0,"Creek Mary's Blood: A Novel","Dee Alexander Brown",1980
"0030442818",58363,0,"Creek Mary's Blood: A Novel","Dee Alexander Brown",1980
"0030442818",135473,0,"Creek Mary's Blood: A Novel","Dee Alexander Brown",1980
"0030442818",236172,0,"Creek Mary's Blood: A Novel","Dee Alexander Brown",1980
"0030445760",106280,8,"Gifts of deceit: Sun Myung Moon, Tongsun Park, and the Korean scandal","Robert B Boettcher",1980
"0030445760",130039,0,"Gifts of deceit: Sun Myung Moon, Tongsun Park, and the Korean scandal","Robert B Boettcher",1980
"0030447216",104058,0,"The case of the poisoned eclairs: A Masao Masuto mystery (A Rinehart suspense novel)","E. V Cunningham",1979
"003044781X",174791,0,"The Beagle Has Landed (Beagle Has Landed)","Charles M. Schulz",1978
"0030448514",264321,5,"Doonesbury's greatest hits","G. B Trudeau",1978
"0030448565",10030,8,"Doonesbury's Greatest Hits","G. B. Trudeau",1978
"0030448565",44595,0,"Doonesbury's Greatest Hits","G. B. Trudeau",1978
